слово,корень
белужий,бел
подлесок,лес
ножевой,ног(ж)_2
купальник,куп_2
пустоцвет,цвет
зимний,зим
носильщик,нос_1
землянин,земл
моложавый,молод_2
лесовик,лес
овощной,овощ
горесть,гор
домище,дом
работать,раб_1
окольцованный,кольц
восход,ход
наушники,уш
дворник,двор
родственный,род
кормщик,корм_2
застройка,строй
хлебороб,хлеб
зернистый,зерн
лесной,лес
накормить,корм_1
надстройка,строй
красивый,крас_1
радушие,рад
носорог,нос_2
кольцеброс,кольц
голосишко,голос
листовидный,лист
словарь,слов
браток,брат
палисадник,сад
белобрысый,бел
ворон,ворон
болезненный,бол
добро,добр
перестройка,строй
добрыня,добр
снежок,снег
курник,кур_1
перегрузка,груз
летающий,лёт
каменщик,кам
игровой,игр
добренький,добр
ледниковый,лед
судоходный,суд_1
листок,лист
игривый,игр
побеждённый,побед
столик,стол
садовничий,сад
мороженщик,мороз
нахлебник,хлеб
снос,нос_1
ножонка,ног(ж)_1
дубок,дуб
листопад,лист
медведь,мед
вызвездить,звезд
ледорез,лед
земля,земл
зверьё,звер
зимовщик,зим
дорожка,дорог_1
игротека,игр
краска,крас_3
листоед,лист
картография,карт
словесность,слов
жаровня,жар
мороженое,мороз
озимь,зим
ножовочный,ног(ж)_2
ракета-носитель,рак
холодостойкий,холод
носатый,нос_2
дубовик,дуб
леток,лёт
содружество,друж
престол,стол
веснушки,весн
пожар,жар
ледокол,лед
застолье,стол
обморожение,мороз
водопад,вод
кольцевание,кольц
куровод,кур_1
переноска,нос_1
замораживать,мороз
зажарить,жар
дозвониться,звон
гуськом,гус_1
окружной,круг(ж)_2
уши,уш
козлятник,коз
колокол,кол
братание,брат
вездеход,ход
неподсудный,суд_2
бойница,бой
грузовик,груз
весельчак,весел
звоночек,звон
домина,дом
звездолёт,звезд
зерновой,зерн
землица,земл
красноватый,крас_2
зазубрить,зубр_2
ракетчик,рак
вешний,весн
столичный,стол
по-братски,брат
лосепитомник,лос
землевладелец,земл
белолобый,бел
игрушечный,игр
медвежата,мед
конезавод,кон
похолодание,холод
судовладелец,суд_1
колечко,кольц
лось,лос
купленный,куп_1
лётчик,лёт
дворня,двор
боевой,бой
встроенный,строй
породниться,род
белошвейка,бел
звёздный,звезд
дружина,друж
поход,ход
краситель,крас_3
воробьёнок,вороб
словоупотребление,слов
холодок,холод
гласность,голос
больной,бол
перелёт,лёт
холодильник,холод
подворье,двор
посадка,сад
цветущий,цвет
зверствовать,звер
воробей,вороб
водица,вод
болезнь,бол
звёздчатый,звезд
словарный,слов
веселить,весел
молодчик,молод_1
работница,раб_1
боеголовка,бой
соцветие,цвет
воробьиха,вороб
обрадовать,рад
снегурочка,снег
солнцеворот,солнц
спортобщество,спорт
берёзовый,берёз
рабство,раб_2
летучий,лёт
покупка,куп_1
гласный,голос
хлебопёк,хлеб
коза,коз
братан,брат
красивенький,крас_1
землемер,земл
лёт,лёт
козлобородый,коз
снежинка,снег
берёзочка,берёз
ракетный,рак
ушанка,уш
подлёдный,лед
камень,кам
кружевница,круг(ж)_1
купец,куп_1
дружественный,друж
садоводство,сад
горе,гор
тренировочный,трен
картишки,карт
подорожник,дорог_1
